img_tag,img_num,resize_ratio
t1.jpg,0,5.5078125
t1.jpg,1,7.453125
t1.jpg,2,7.6171875
t1.jpg,3,7.734375
t1.jpg,4,8.2734375
t1.jpg,5,6.484375
t1.jpg,6,7.890625
t1.jpg,7,8.390625
t1.jpg,8,7.1953125
t1.jpg,9,8.015625
t1.jpg,10,7.9453125
t1.jpg,11,8.484375
t1.jpg,12,7.6875
t1.jpg,13,9.21875
t1.jpg,14,11.1875
t1.jpg,15,7.6171875
t1.jpg,16,8.90625
t2.jpg,0,5.546875
t2.jpg,1,4.4296875
t2.jpg,2,7.359375
t2.jpg,3,8.234375
t2.jpg,4,8.546875
t2.jpg,5,8.9375
t2.jpg,6,8.15625
t2.jpg,7,9.4921875
t2.jpg,8,5.5
t2.jpg,9,7.75
t2.jpg,10,7.2890625
t2.jpg,11,8.671875
t2.jpg,12,8.6015625
t2.jpg,13,8.4140625
t2.jpg,14,8.875
t2.jpg,15,9.140625
t2.jpg,16,8.96875
t2.jpg,17,9.4453125
t3.jpg,0,3.3125
t3.jpg,1,3.1171875
t3.jpg,2,3.328125
t3.jpg,3,3.34375
t3.jpg,4,3.96875
t3.jpg,5,3.03125
t3.jpg,6,2.890625
t3.jpg,7,4.3828125
t3.jpg,8,3.078125
t3.jpg,9,3.03125
t3.jpg,10,4.0078125
t3.jpg,11,3.140625
t3.jpg,12,3.046875
t3.jpg,13,3.28125
t3.jpg,14,3.6328125
t3.jpg,15,3.84375
t3.jpg,16,3.609375
t4.jpg,0,3.4921875
t4.jpg,1,3.328125
t4.jpg,2,3.6328125
t4.jpg,3,4.078125
t4.jpg,4,3.3984375
t4.jpg,5,3.234375
t4.jpg,6,4.03125
t4.jpg,7,4.21875
t4.jpg,8,4.671875
t4.jpg,9,3.234375
t4.jpg,10,4.125
t4.jpg,11,3.140625
t4.jpg,12,3.09375
t4.jpg,13,4.984375
s6.png,0,8.6953125
s5.png,0,8.21875
s4.png,0,7.40625
s1.png,0,7.5703125
s3.png,0,7.734375
s2.png,0,6.703125
