img.tag,ind.leaf,LA(cm2),intact.LA(cm2),damage(%)
t1.jpg,0,15.024,17.419,0.137
t1.jpg,1,24.051,24.25,0.008
t1.jpg,2,14.636,15.456,0.053
t1.jpg,3,17.989,25.039,0.282
t1.jpg,4,29.539,30.039,0.017
t1.jpg,5,15.294,18.712,0.183
t1.jpg,6,27.199,30.707,0.114
t1.jpg,7,33.374,34.197,0.024
t1.jpg,8,18.215,22.116,0.176
t1.jpg,9,13.886,25.203,0.449
t1.jpg,10,19.323,26.102,0.26
t1.jpg,11,26.312,29.227,0.1
t1.jpg,12,22.076,24.88,0.113
t1.jpg,13,33.434,33.842,0.012
t1.jpg,14,45.084,50.27,0.103
t1.jpg,15,24.124,26.103,0.076
t1.jpg,16,33.087,33.77,0.02
t2.jpg,0,12.481,13.366,0.066
t2.jpg,1,7.275,7.416,0.019
t2.jpg,2,16.17,16.407,0.014
t2.jpg,3,32.425,35.263,0.08
t2.jpg,4,34.184,35.603,0.04
t2.jpg,5,30.205,30.697,0.016
t2.jpg,6,27.063,35.174,0.231
t2.jpg,7,43.184,46.491,0.071
t2.jpg,8,11.291,11.623,0.029
t2.jpg,9,25.971,26.272,0.011
t2.jpg,10,15.68,15.958,0.017
t2.jpg,11,33.692,34.043,0.01
t2.jpg,12,29.876,32.883,0.091
t2.jpg,13,31.841,32.531,0.021
t2.jpg,14,35.916,36.097,0.005
t2.jpg,15,40.907,42.883,0.046
t2.jpg,16,36.684,38.633,0.05
t2.jpg,17,37.764,40.284,0.063
t3.jpg,0,6.013,6.716,0.105
t3.jpg,1,3.525,4.528,0.222
t3.jpg,2,6.487,9.519,0.319
t3.jpg,3,4.819,5.892,0.182
t3.jpg,4,8.968,12.621,0.289
t3.jpg,5,5.451,6.955,0.216
t3.jpg,6,3.17,4.859,0.348
t3.jpg,7,14.343,15.305,0.063
t3.jpg,8,8.072,8.785,0.081
t3.jpg,9,5.459,7.886,0.308
t3.jpg,10,17.321,22.509,0.23
t3.jpg,11,7.594,7.918,0.041
t3.jpg,12,3.269,4.825,0.322
t3.jpg,13,3.975,5.805,0.315
t3.jpg,14,12.607,13.284,0.051
t3.jpg,15,7.233,7.561,0.043
t3.jpg,16,5.24,6.441,0.186
t4.jpg,0,13.603,15.265,0.109
t4.jpg,1,6.932,7.1,0.024
t4.jpg,2,5.823,6.419,0.093
t4.jpg,3,8.935,10.578,0.155
t4.jpg,4,4.801,5.602,0.143
t4.jpg,5,5.831,7.352,0.207
t4.jpg,6,7.214,7.586,0.049
t4.jpg,7,10.85,12.744,0.149
t4.jpg,8,15.776,19.303,0.183
t4.jpg,9,6.179,6.498,0.049
t4.jpg,10,11.45,13.342,0.142
t4.jpg,11,3.531,4.137,0.146
t4.jpg,12,13.202,14.026,0.059
t4.jpg,13,16.192,16.741,0.033
s6.png,0,24.975,26.65,0.063
s5.png,0,23.237,25.75,0.098
s4.png,0,16.184,19.314,0.162
s1.png,0,19.304,23.47,0.178
s3.png,0,19.799,21.381,0.074
s2.png,0,17.029,17.583,0.032
